strain,treatment,volume,M1,M2,Date,open_time1,open_time2,avg_open_time,batch,UPF
S2,S2Q3,1.5,23.64,19.01,12/5/2025,14:56,15:02,14:59,1,N
S4,S4Q1,1.5,22.87,18.05,12/5/2025,14:58,15:05,15:01,1,N
S2,S2Q1,1.5,25.05,23.53,12/5/2025,14:55,15:04,14:59,1,N
CHLAMY,CQ2,1.5,20.76,22.96,12/5/2025,15:33,15:36,15:34,1,N
S4,S4Q3,1.5,19.92,23.36,12/5/2025,14:56,15:02,14:59,1,N
S3,S3Q1,1.5,24.82,20.79,12/5/2025,15:04,15:14,15:09,1,Y
S2,S2Q2,1.5,19.8,23.17,12/5/2025,14:58,15:03,15:00,1,N
S1,S1Q1,1.5,24.38,20.38,12/5/2025,15:01,15:01,15:01,1,N
S4,S4Q2,1.5,21.33,22.52,12/5/2025,14:56,15:02,14:59,1,N
CHLAMY,CQ1,1.5,20.04,20.53,12/5/2025,15:00,15:23,15:11,1,N
S12,S12Q1,1.5,21.02,23.66,12/12/2025,13:49,14:02,13:55,1,N
CHLAMY,CQ1,1.5,25.11,,12/12/2025,13:49,,13:49,1,N
S8,S8Q2,1.5,20.69,20.03,12/12/2025,13:49,13:49,13:49,1,N
S4,S4Q1,1.5,22.88,19.26,12/12/2025,13:51,13:54,13:52,1,Y
CHLAMY,CQ2,1.5,20.71,20.24,12/12/2025,13:48,13:50,13:49,1,N
S12,S12Q3,1.5,19.42,20.96,12/12/2025,13:48,13:48,13:48,1,N
S12,S12Q2,1.5,24.02,19.9,12/12/2025,13:47,13:47,13:47,1,N
S8,S8Q1,1.5,23.06,18.65,12/12/2025,13:46,13:46,13:46,1,N
S4,S4Q2,1.5,21.53,20.12,12/12/2025,13:46,13:46,13:46,1,N
S10,S10Q1,1.5,23.36,20.57,12/12/2025,13:49,13:52,13:50,1,N
S5,S5Q1,1.5,21.66,18.25,12/15/2025,13:31,13:41,13:36,1,N
S3,S3Q2,1.5,24.78,19.51,12/15/2025,13:29,13:34,13:31,1,Y
S5,S5Q3,1.5,23.56,19.73,12/15/2025,13:32,13:32,13:32,1,N
S5,S5Q2,1.5,22.7,18.4,12/15/2025,13:33,13:33,13:33,1,N
S6,S6Q1,1.5,23.13,20.15,12/15/2025,13:27,14:39,14:03,1,N
CHLAMY,CQ1,1.5,23,20.96,12/15/2025,13:32,13:35,13:33,1,N
S10,S10Q1,1.5,19.02,20.22,12/15/2025,14:02,14:02,14:02,1,N
S6,S6Q2,1.5,18.02,23.63,12/15/2025,13:27,13:29,13:28,1,N
S10,S10Q2,1.5,23.21,18.58,12/15/2025,13:30,13:33,13:31,1,N
S3,S3Q1,1.5,24.95,20.76,12/15/2025,14:20,14:25,14:22,1,N
S11,S11Q1,1.5,18.75,18.57,1/12/2026,13:15,13:22,13:18,1,Y
S9,S9Q1,1.5,24.3,19.42,1/12/2026,13:15,13:30,13:22,1,N
S9,S9Q3,1.5,19.88,23.15,1/12/2026,13:12,13:14,13:13,1,N
S11,S11Q3,1.5,20.96,19.95,1/12/2026,13:14,13:14,13:14,1,Y
S7,S7Q1,1.5,20.68,24.79,1/12/2026,13:14,13:14,13:14,1,N
CHLAMY,CQ2,1.5,18.16,20.19,1/12/2026,13:14,13:14,13:14,1,N
S7,S7Q2,1.5,20.72,23.16,1/12/2026,13:06,13:10,13:08,1,N
S9,S9Q2,1.5,19.9,19.48,1/12/2026,13:13,13:13,13:13,1,N
CHLAMY,CQ1,1.5,22.51,19.4,1/12/2026,13:06,13:06,13:06,1,N
S11,S11Q2,1.5,23.63,18.28,1/12/2026,13:00,13:04,13:02,1,Y
S7,S7Q3,1.5,22.86,18.93,1/12/2026,12:58,13:00,12:59,1,N
S1,S1Q2,1.5,19.82,20.02,1/16/2026,14:03,14:38,14:20,1,Y
S8,S8Q3,1.5,24.8,20.28,1/16/2026,13:58,14:01,13:59,1,N
S1,S1Q3,1.5,23.7,18.57,1/16/2026,13:59,14:02,14:00,1,Y
S8,S8Q2,1.5,21,20.73,1/16/2026,14:00,14:00,14:00,1,Y
S6,S6Q3,1.5,18.18,24.76,1/16/2026,13:57,14:02,13:59,1,N
CHLAMY,CQ2,1.5,21.76,18.12,1/16/2026,14:02,14:08,14:05,1,N
S6,S6Q2,1.5,23.28,23.18,1/16/2026,13:57,14:04,14:00,1,Y
S1,S1Q1,1.5,24.82,23.53,1/16/2026,14:06,14:25,14:15,1,Y
S8,S8Q1,1.5,25.12,22.25,1/16/2026,13:57,14:43,14:20,1,Y
CHLAMY,CQ1,1.5,22.87,24.32,1/16/2026,13:55,14:04,13:59,1,N
S6,S6Q1,1.5,19.91,24.17,1/16/2026,13:59,14:45,14:22,1,N